"","fragment_ID","position","date","day","Species","Category","salinity","time_start_L","O2_start_L","temp_start_L","time_end_L","O2_end_L","temp_end_L","notes_L","time_start_D","O2_start_D","temp_start_D","time_end_D","O2_end_D","temp_end_D","notes_D","time_L_min","time_D_min","oxy_L_diff","oxy_D_diff","vol_jar_L","base_O2produced_ug_min","base_O2produced_ug_h","base_O2respiration_ug_min","base_O2respiration_ug_h","mean(base_O2produced_ug_h)","mean(base_O2respiration_ug_h)","net_photo_ug_h","respiration_ug_h","gross_photo_ug_h","surface_cm2","volume_cm3","net_photo_ug_h_cm2","respiration_ug_h_cm2","gross_photo_ug_h_cm2"
"16","Amu_D2_P","B8",2022-01-31,"5","Amu","P",37,10H 22M 0S,6.55,25.7,12H 7M 0S,7.37,26.1,"neues Wasser",13H 7M 0S,7.16,25.6,14H 37M 0S,6.9,25.9,NA,105,90,820,260,0.99896,7.80140190476191,468.084114285715,2.88588444444444,173.153066666667,71.2196818181816,66.8557949129523,396.864432467533,106.297271753714,503.161704221247,12.72009033,1.755322754,31.1998124362009,8.35664441022207,39.556456846423
"17","Mdi_A1_M","A2",2022-01-25,"1","Mdi","M",36.1,10H 11M 0S,6.78,25.7,11H 39M 0S,7.9,25.9,NA,12H 35M 0S,7.45,24.1,14H 5M 0S,7.23,25.7,NA,88,90,1120,220,0.99804,12.7023272727273,762.139636363636,2.43965333333333,146.3792,58.4551302211303,114.595532608696,703.684506142506,31.783667391304,735.46817353381,19.19316162,2.683174805,36.6632928995523,1.65598914970758,38.3192820492599
"18","Mdi_A1_P","B4",2022-01-27,"3","Mdi","P",36.8,10H 19M 0S,6.73,25.6,12H 4M 0S,7.97,26.3,NA,13H 12M 0S,7.78,25.9,14H 41M 0S,7.31,26.1,NA,105,89,1240,470.000000000001,0.99954,11.8040914285714,708.245485714285,5.27846966292136,316.708179775281,56.6006340659341,13.3834945054942,651.644851648351,303.324685269787,954.969536918138,17.4301697,2.670740723,37.3860302489396,17.4022795239789,54.7883097729185
"19","Mdi_A2_M","B5",2022-01-31,"5","Mdi","M",37,10H 9M 0S,6.6,25.6,11H 53M 0S,7.74,26.1,NA,12H 52M 0S,7.38,25.8,14H 22M 0S,6.95,25.9,NA,104,90,1140,430,0.99915,10.9522211538462,657.133269230769,4.77371666666666,286.423,71.2196818181816,66.8557949129523,585.913587412588,219.567205087048,805.480792499635,13.36658569,1.706030273,43.8341997725664,16.4265737099425,60.2607734825089
"20","Mdi_A2_P","A8",2022-01-26,"2","Mdi","P",36.7,10H 26M 0S,6.79,25.7,12H 13M 0S,7.95,26.2,"Neues Wasser",13H 11M 0S,7.64,26,14H 43M 0S,7.1,26,NA,107,92,1160,540,0.99888,10.8289794392523,649.73876635514,5.86299130434783,351.77947826087,40.7925514705883,103.074171014493,608.946214884552,248.705307246377,857.651522130929,22.1775586,3.218462891,27.4577660177866,11.2142779884877,38.6720440062744
"21","Mdi_B1_M","A2",2022-01-28,"4","Mdi","M",36.9,10H 5M 0S,6.7,25.9,11H 35M 0S,7.39,26,NA,12H 31M 0S,7.39,26,14H 1M 0S,7.22,25.7,NA,90,90,690,170,0.99804,7.65164,459.0984,1.88518666666667,113.1112,64.8344780769233,60.8820000000002,394.263921923076,52.2291999999998,446.493121923076,14.3781372,1.675202148,27.4210710635781,3.63254288601445,31.0536139495926
"22","Mdi_B1_P","C2",2022-01-25,"1","Mdi","P",36.1,10H 18M 0S,6.79,25.6,11H 53M 0S,7.52,26.4,NA,12H 44M 0S,7.29,24.4,14H 16M 0S,6.91,26.2,NA,95,92,730,380,0.9974,7.66423157894736,459.853894736842,4.11969565217391,247.181739130435,58.4551302211303,114.595532608696,401.398764515711,132.586206521739,533.98497103745,16.25280273,1.641755493,24.6972027645912,8.15774415799723,32.8549469225884
"23","Mdi_B2_M","A5",2022-01-27,"3","Mdi","M",36.8,10H 16M 0S,6.72,25.6,11H 58M 0S,7.44,26.2,NA,13H 6M 0S,7.34,25.9,14H 36M 0S,7.03,25.9,NA,102,90,720.000000000001,310,1.00102,7.06602352941177,423.961411764706,3.44795777777777,206.877466666666,56.6006340659341,13.3834945054942,367.360777698772,193.493972161172,560.854749859944,15.4591174,2.16488816,23.7633733022024,12.5164954217355,36.2798687239379
"24","Mdi_B2_P","A5",2022-01-31,"5","Mdi","P",37,10H 2M 0S,6.62,25.6,11H 45M 0S,7.33,26.1,NA,12H 45M 0S,7.15,25.7,14H 15M 0S,6.8,25.9,NA,103,90,710,350.000000000001,1.00102,6.90023495145631,414.014097087379,3.89285555555556,233.571333333334,71.2196818181816,66.8557949129523,342.794415269197,166.715538420381,509.509953689578,21.22696777,2.199817627,16.1490053117086,7.85394975988986,24.0029550715984
"25","Mdi_C1_M","B8",2022-01-26,"2","Mdi","M",36.7,10H 29M 0S,6.79,25.6,12H 22M 0S,7.9,26.2,"Neues Wasser",13H 18M 0S,7.45,25.8,14H 50M 0S,6.89,26,NA,113,92,1110,560,0.99896,9.81279292035398,588.767575221239,6.08062608695653,364.837565217392,40.7925514705883,103.074171014493,547.975023750651,261.763394202899,809.73841795355,22.7433008,3.3115271,24.0939091721748,11.5094724598154,35.6033816319903
