date,day,fragment_ID,Species,Category,Sample_ID,Sal,position,Sample_volume,time,notes
20220131,5,Amu_A1_M,Amu,M,Axu_A1_X,37,B4,50,13:42,
20220131,5,Mdi_A2_M,Mdi,M,Xdi_A2_X,37,B5,49.99,13:55,
20220131,5,Pru_B1_M,Pru,M,Pru_B1_X,37,C6,49.99,14:09,
20220131,5,Pve_B2_M,Pve,M,Pve_B2_X,37,A8,49.99,14:23,
20220131,5,Pve_C2_P,Pve,P,Pve_C2_P,37,A9,50.01,14:36,
20220131,5,Spi_D1_P,Spi,P,Spi_D1_P,37,B7,50.01,14:49,
20220131,5,Amu_D2_P,Amu,P,Axu_D2_P,37,B8,50,15:03,
20220131,5,Spi_C1_M,Spi,M,Spi_C1_X,37,B9,50,15:16,
20220131,5,Amu_C2_M,Amu,M,Axu_C2_X,37,C7,50,15:28,
20220131,5,Contr,Con,Con,ContrB,37,C8,50,15:41,
20220131,5,Reference3,Ref,NA,Ref3,37,NA,50.01,15:54,
20220131,5,Reference4,Ref,NA,Ref4,37,NA,50.01,16:07,
