fragment_ID;Species;Category;Date;eluation_ml;resuspention_ml;vol_chamber;vol_five_squares;count_1;count_2;count_3;count_4;count_5;count_6;Notes
Mdi_C1_P;Mdi;P;02.08.2022;10;8;0.1;0.00125;26;25;32;28;32;25;
Mdi_C2_M;Mdi;M;03.08.2022;10;8;0.1;0.00125;56;66;63;59;63;62;lost some of the end solution
Mdi_C2_P;Mdi;P;02.08.2022;10;8;0.1;0.00125;19;29;29;30;15;33;
Mdi_D1_M;Mdi;M;03.08.2022;10;8;0.1;0.00125;54;67;72;80;63;81;
Mdi_D1_P;Mdi;P;02.08.2022;10;8;0.1;0.00125;74;73;59;68;71;82;
Mdi_D2_M;Mdi;M;03.08.2022;10;8;0.1;0.00125;96;130;113;108;112;126;
Mdi_D2_P;Mdi;P;02.08.2022;10;8;0.1;0.00125;33;48;50;36;48;42;
Pru_A1_M;Pru;M;04.08.2022;10;8;0.1;0.00125;41;63;65;40;51;48;
Pru_A1_P;Pru;P;04.08.2022;10;8;0.1;0.00125;48;53;53;62;62;70;
Pru_A2_M;Pru;M;04.08.2022;10;8;0.1;0.00125;5;5;;;;;lost part of the pellet - no point of counting
Pru_A2_P;Pru;P;03.08.2022;10;8;0.1;0.00125;65;39;78;80;81;76;
Pru_B1_M;Pru;M;04.08.2022;10;8;0.1;0.00125;47;55;48;60;50;65;
Pru_B1_P;Pru;P;04.08.2022;10;8;0.1;0.00125;18;28;30;25;16;38;
Pru_B2_M;Pru;M;04.08.2022;10;8;0.1;0.00125;15;9;10;12;12;6;centrifuge error - lost part of pellet
Pru_B2_P;Pru;P;04.08.2022;10;8;0.1;0.00125;44;54;58;55;57;68;
Pru_C1_M;Pru;M;04.08.2022;10;8;0.1;0.00125;55;47;44;47;39;39;
Pru_C1_P;Pru;P;03.08.2022;10;8;0.1;0.00125;61;63;46;53;48;55;
Pru_C2_M;Pru;M;04.08.2022;10;8;0.1;0.00125;49;50;48;66;55;46;
Pru_C2_P;Pru;P;04.08.2022;10;8;0.1;0.00125;54;42;39;54;57;27;
Pru_D1_M;Pru;M;04.08.2022;10;8;0.1;0.00125;35;38;38;50;25;30;
Pru_D1_P;Pru;P;03.08.2022;10;8;0.1;0.00125;77;90;72;82;69;78;
Pru_D2_M;Pru;M;04.08.2022;10;8;0.1;0.00125;30;20;19;35;29;34;
Pru_D2_P;Pru;P;04.08.2022;10;8;0.1;0.00125;46;43;39;36;52;32;
Pve_A1_M;Pve;M;04.08.2022;10;8;0.1;0.00125;30;21;40;38;35;36;
Pve_A1_P;Pve;P;04.08.2022;10;8;0.1;0.00125;34;56;70;52;62;48;
Pve_A2_M;Pve;M;04.08.2022;10;8;0.1;0.00125;17;16;19;27;31;16;
Pve_A2_P;Pve;P;04.08.2022;10;8;0.1;0.00125;21;13;15;18;10;19;centrifuge error - lost part of pellet
Pve_B1_M;Pve;M;04.08.2022;10;8;0.1;0.00125;21;26;16;20;15;15;centrifuge error - lost part of pellet
Pve_B1_P;Pve;P;03.08.2022;10;8;0.1;0.00125;68;61;71;63;66;61;
Pve_B2_M;Pve;M;04.08.2022;10;8;0.1;0.00125;42;39;35;37;38;31;
Pve_B2_P;Pve;P;03.08.2022;10;8;0.1;0.00125;65;99;77;76;77;77;
Pve_C1_M;Pve;M;04.08.2022;10;8;0.1;0.00125;80;49;64;66;73;83;
Pve_C1_P;Pve;P;04.08.2022;10;8;0.1;0.00125;117;139;117;140;115;130;
Pve_C2_M;Pve;M;04.08.2022;10;8;0.1;0.00125;70;59;75;53;84;92;
Pve_C2_P;Pve;P;03.08.2022;10;8;0.1;0.00125;72;74;67;70;73;69;
Pve_D1_M;Pve;M;04.08.2022;10;8;0.1;0.00125;44;47;52;52;58;39;viele geplatzte Dinoflagellaten
Pve_D1_P;Pve;P;04.08.2022;10;8;0.1;0.00125;45;46;52;53;48;51;
